type,code,price,xDeltaPrice,xPts
driver,ALB,9.6,0.23,12.5
driver,ALO,8,0.16,-0.9
driver,ANT,24.4,0.26,34.3
driver,BEA,9.4,-0.6,1.1
driver,BOR,5.2,0.1,1.8
driver,BOT,3.9,0.02,-0.5
driver,COL,8.2,0.06,3.3
driver,GAS,12.8,-0.57,5
driver,HAD,12.7,-0.59,9.1
driver,HAM,23.5,0.03,26.4
driver,HUL,4.4,-0.59,1
driver,LAW,8.1,0.04,19.4
driver,LEC,24,0.16,27
driver,LIN,7,-0.57,2.6
driver,NOR,26.4,0.23,28.9
driver,OCO,9.7,-0.02,0.7
driver,PER,7.6,0.22,3.9
driver,PIA,24.7,0.25,24.9
driver,RUS,28.6,0.17,34.2
driver,SAI,13,-0.35,-3
driver,STR,5.6,-0.46,-1.6
driver,VER,28.3,0.09,24.2
constructor,ALP,14.9,0.29,11.9
constructor,AST,7.9,0.09,-0.7
constructor,AUD,5,-0.88,9.9
constructor,CAD,5.6,0.42,8.3
constructor,FER,24.5,0.3,71.3
constructor,HAA,9.8,0.02,5.4
constructor,MCL,28.9,0.3,68.6
constructor,MER,30.5,0.3,78.7
constructor,RED,29.2,0.17,50
constructor,VRB,8.7,0.49,38.4
constructor,WIL,14.4,0.43,15.7







